2026-09-09 10:47:09 INFO  TestBase:51 - Running Tests On Android Platform.
2026-09-09 10:47:34 INFO  TestBase:89 - Starting Android Driver.
2026-09-09 10:47:39 INFO  WhereIsMyTrainPageTests:47 - Running Step: verify_Home_Screen_Launched()
2026-09-09 10:47:39 INFO  MainPage:28 - Verifying if all elements are present in home.
2026-09-09 10:47:43 INFO  ReusableFunctions:135 - By.xpath: //android.widget.Button[@text="Dream Cruise Logo"]: element with class property displayed.
2026-09-09 10:47:43 INFO  MainPage:32 - All Main Page Elements Displayed.
2026-09-09 10:47:49 INFO  WhereIsMyTrainPageTests:54 - Running Step: verify_Home_Screen_Launched()
2026-09-09 10:47:49 INFO  WhereIsMyTrainPageTests:55 - Verifying Sign In Button is Disabled or not.
2026-09-09 10:47:49 INFO  MainPage:47 - Verify Sign in Button is Disabled or Not
