2026-09-07 11:55:51 INFO  TestBase:51 - Running Tests On Android Platform.
2026-09-07 11:56:13 INFO  TestBase:88 - Starting Android Driver.
2026-09-07 11:56:19 INFO  MainPageTests:55 - Running Step: verify_all_main_page_elements_are_present()
2026-09-07 11:56:19 INFO  MainPage:33 - Verifying if all elements are present in home.
2026-09-07 11:56:20 INFO  ReusableFunctions:135 - By.xpath: //android.widget.Button[@content-desc='buttonTestCD']: element with class property displayed.
2026-09-07 11:56:20 INFO  ReusableFunctions:135 - By.xpath: //android.widget.ImageButton[@content-desc='buttonStartWebviewCD']: element with class property displayed.
2026-09-07 11:56:21 INFO  ReusableFunctions:135 - By.xpath: //android.widget.ImageButton[@content-desc='startUserRegistrationCD']: element with class property displayed.
2026-09-07 11:56:21 INFO  ReusableFunctions:135 - By.xpath: //android.widget.EditText[@content-desc='my_text_fieldCD']: element with class property displayed.
2026-09-07 11:56:21 INFO  ReusableFunctions:135 - By.xpath: //android.widget.Button[@content-desc='waitingButtonTestCD']: element with class property displayed.
2026-09-07 11:56:21 INFO  ReusableFunctions:135 - By.xpath: //android.widget.Button[@content-desc='visibleButtonTestCD']: element with class property displayed.
2026-09-07 11:56:21 INFO  ReusableFunctions:135 - By.xpath: //android.widget.Button[@content-desc='showToastButtonCD']: element with class property displayed.
2026-09-07 11:56:22 INFO  ReusableFunctions:135 - By.xpath: //android.widget.Button[@content-desc='showPopupWindowButtonCD']: element with class property displayed.
2026-09-07 11:56:22 INFO  ReusableFunctions:135 - By.xpath: //android.widget.Button[@content-desc='exceptionTestButtonCD']: element with class property displayed.
2026-09-07 11:56:22 INFO  ReusableFunctions:135 - By.xpath: //android.widget.EditText[@resource-id='io.selendroid.testapp:id/exceptionTestField']: element with class property displayed.
2026-09-07 11:56:22 INFO  ReusableFunctions:135 - By.xpath: //android.widget.Button[@resource-id='io.selendroid.testapp:id/topLevelElementTest']: element with class property displayed.
2026-09-07 11:56:22 INFO  ReusableFunctions:135 - By.xpath: //android.widget.CheckBox[@resource-id='io.selendroid.testapp:id/input_adds_check_box']: element with class property displayed.
2026-09-07 11:56:22 INFO  MainPage:51 - All Main Page Elements Displayed.
2026-09-07 11:56:33 INFO  MainPageTests:65 - Running Step: verifyToastMessage()
2026-09-07 11:56:33 INFO  MainPage:68 - Locating the toast button
2026-09-07 11:56:35 INFO  ReusableFunctions:242 - Clicking on element: By.xpath: //android.widget.Button[@content-desc='showToastButtonCD']
2026-09-07 11:56:35 INFO  MainPage:71 - Clicked on the toast button
2026-09-07 11:56:35 INFO  MainPage:74 - Trying to get toast message
2026-09-07 11:56:36 INFO  ReusableFunctions:344 - Text extracted from toast : Hello selendroid toast!
2026-09-07 11:56:36 INFO  MainPage:76 - text from toast isHello selendroid toast!
2026-09-07 11:56:36 INFO  ReusableFunctions:408 - Actual Text From Application Web UI --> :: Hello selendroid toast!
2026-09-07 11:56:36 INFO  ReusableFunctions:409 - Expected Text From Application Web UI --> :: Hello selendroid toast!
2026-09-07 11:56:36 INFO  ReusableFunctions:412 - ### VERIFICATION TEXT MATCHED !!!
2026-09-07 11:56:47 INFO  MainPageTests:76 - Running step: beginRegistration()
2026-09-07 11:56:47 INFO  MainPage:93 - Locating the register button.
2026-09-07 11:56:48 INFO  ReusableFunctions:242 - Clicking on element: By.xpath: //android.widget.ImageButton[@content-desc='startUserRegistrationCD']
2026-09-07 11:56:48 INFO  MainPage:97 - Clicked on register button
